rh	gen	rept	N	P	K	Ca	Mg	S	Fe	Zn	Cu	Mn	B	A	gs	Ci	E	VpdL	CiCa	Ags	Ae	Aci
irr	CP41 	1	22.61	2.63	17.5	10.08	4	2.4	107	46	4	887	57	2.78548	0.01578	96.91003	0.55545	3.47261	0.704740743	64.93062199	2.997828417	0.021801844
nir	CP41 	1	24.15	2.11	16.25	13.83	4.5	2.4	64	42	4	853	31	6.0737	0.09354	278.58672	2.02603	2.16008	0.619020471	84.77486524	3.493371652	0.019111253
irr	CP41 	2	25.83	2.87	13.75	6.09	3.06	2.73	214	49	4	1558	42	2.18309	0.01431	139.06707	0.42813	2.95826	0.246208744	176.5339991	5.014846863	0.02874292
irr	CP41 	3	25.34	2.87	16.25	9.83	4.94	2.79	149	51	5	921	50	4.69697	0.05541	245.76963	1.34454	2.40898	0.350928985	152.5264504	5.099163239	0.01569811
nir	CP41 	3	27.3	2.36	16.88	18.17	5.5	3.2	97	44	5	581	33	1.61315	0.04604	323.94063	1.28156	2.75108	0.816076275	35.03427355	1.258743911	0.004979771
irr	CP43 	1	23.87	2.23	15	11.68	4.38	2.62	83	51	3	703	53	5.90153	0.05782	217.05401	1.44169	2.48715	0.548508898	102.0751793	4.093473337	0.027189227
nir	CP43 	1	24.29	2.42	18.13	12.18	4.81	2.73	68	47	3	629	33	3.31199	0.05096	270.75204	1.70616	3.31721	0.436588168	131.1351698	5.013122108	0.028769748
irr	CP43 	2	22.12	2.23	11.25	9.18	4.63	2.79	178	41	3	621	49	4.98409	0.03801	173.24057	0.99421	2.60265	0.577603142	95.73029535	3.856341755	0.02598596
nir	CP43 	2	26.53	2.11	13.13	10.83	5.19	3.56	77	64	3	887	30	3.00103	0.02952	213.43113	0.9558	3.2027	0.686667483	64.99553906	1.941195731	0.012232566
irr	CP43 	3	26.46	3.44	10.63	14.53	5.5	3.08	161	79	5	957	42	5.96367	0.0623	229.49577	1.54646	2.47757	0.536072677	101.6528256	3.139798792	0.014060896
nir	CP43 	3	24.78	2.29	11.88	15.12	5.56	2.62	78	56	5	865	35	1.70023	0.01222	156.51128	0.34024	2.74315	0.392329975	139.0792164	4.997083716	0.01086329
irr	CP49 	1	23.94	3.33	16.88	15.72	6.13	2.19	105	43	6	713	53	5.99223	0.06388	230.72243	1.4024	2.19619	0.585341462	93.80999498	4.272837666	0.025971606
nir	CP49 	1	25.62	2.42	13.75	14.38	5.25	2.4	65	36	4	531	33	2.65615	0.02407	203.5328	0.81174	3.33322	0.765086987	48.55683838	2.175616417	0.012587091
irr	CP49 	2	27.44	3.04	18.13	9.43	3.94	2.62	142	48	5	771	33	3.82037	0.07868	303.51518	1.756	2.23743	0.712454806	62.55999883	2.809894646	0.016933234
nir	CP49 	2	25.83	2.71	15	12.33	5.5	2.73	89	45	4	371	37	3.0465	0.03977	258.21681	1.27978	3.1869	0.510684555	110.3555067	3.272184946	0.013050233
irr	CP49 	3	27.86	2.63	13.75	11.68	3.88	2.51	154	32	4	439	42	4.80393	0.07679	283.69856	1.70965	2.2299	0.649586798	76.60999576	2.380491252	0.011798212
nir	CP49 	3	25.55	2.36	16.88	16.37	4.75	2.96	75	45	4	487	22	2.84153	0.02075	144.17501	0.56796	2.69771	0.362464568	136.9437247	5.003032902	0.01970892
irr	ESFIP02 	1	28.14	2.71	13.13	13.88	4.44	2.3	104	29	4	809	42	3.99891	0.07797	269.4361	1.71654	2.30108	0.67660673	51.28962463	2.329639504	0.014841778
nir	ESFIP02 	1	25.41	2.29	14.38	15.82	4.94	2.19	59	43	4	747	33	4.43501	0.03569	167.52279	1.04823	2.91749	0.666063173	67.86495694	2.837664043	0.016688141
irr	ESFIP02 	2	26.95	2.06	11.88	8.59	3.69	1.78	163	47	4	745	42	4.41472	0.06505	264.54259	1.55576	2.39258	0.439422526	130.0843683	5.177680707	0.03514871
nir	ESFIP02 	2	29.89	2.11	14.38	11.43	5.75	2.79	118	49	3	713	41	3.92438	0.03005	170.09201	0.94817	3.12867	0.423396289	124.2639133	4.230948637	0.026474074
